id;zagolovok;index;name;date;sheets;number;direction;note;
159;;24-02/1341-МГ;Заявка Комитета по агропромышленному комплексу и продовольственному рынку Мурманской области на участие в отборе;26.08.2013;;;;"ООО ""Русское море - Аквакультура""";
160;;24-02/1339-МГ;Заявка Комитета по агропромышленному комплексу и продовольственному рынку Мурманской области на участие в отборе;26.08.2013;;;;"ООО ""Русское море - Аквакультура""";
161;;24-02/1340-МГ;Заявка Комитета по агропромышленному комплексу и продовольственному рынку Мурманской области на участие в отборе;26.08.2013;;;;"ЗАО ""Русский Лосось"";
ЗАО ""Русский Лосось"";";
162;Новгородская область;СХ-2026-И;Заявка Департамента сельского хозяйства и продовольствия Новгородской областина участие в отборе;30.08.2013;;;;"ООО ""Виктория+""";
163;;СХ-1759-И;Заявка Департамента сельского хозяйства и продовольствия Новгородской областина участие в отборе;01.08.2013;;;;"ОАО ""Ермолинское"";
ООО ""Надежда"" (№12809/0017 от 27.09.12)";
164;Псковская область;05-23/4997;Заявка Главного государственного управления сельского хозяйства, ветеринарии и государственного технического надзора Псковской области на участие в отборе;07.11.2013;;;;"СПК ""Правда""";
165;;05-23/1737;Заявка Главного государственного управления сельского хозяйства, ветеринарии и государственного технического надзора Псковской области на участие в отборе;27.05.2013;;;;"ЗАО ""Великолукский молочный комбинат"";
ООО ""Панкратовское"";
ООО ""Линово"" (№126800/0077 от 31.08.12);
ООО ""Металлист"" (№8630-1-142511 от 23.12.11);
СПК им. Суворова (№2216/8630/01872-0012 от 05.12.12);
ООО ""Агрофирма Пограничник"" (№1126800/0069 от 27.08.12)";
166;;05-23/1735;Заявка Главного государственного управления сельского хозяйства, ветеринарии и государственного технического надзора Псковской области на участие в отборе;27.05.2013;;;;"ООО ""Светлое поле"";
СПК ""Россия""";
167;;05-23/3680;Заявка Главного государственного управления сельского хозяйства, ветеринарии и государственного технического надзора Псковской области на участие в отборе;23.08.2013;;;;"СПК ""Заря"";
СПК ""Заря""";
168;Республика Карелия;3812/12-01-11;Заявка Министерства сельского, рыбного и охотничьего хозяйства Республики Карелия на участие в отборе;22.08.2013;;;;Без реестра;
169;Ростовская область;11.1.1-08/284;Заявка Министерства сельского хозяйства и продовольствия Ростовской области на участие в отборе с приложением на 1 л.;26.08.2013;2;01.фев;;;
170;;601000025;"Копия кредитного договора между ОАО КБ ""Центр-инвест"" и ОАО ""ПФ Белокалитвинская""";05.05.2010;13;мар.15;;;
171;Ростовская область;11/1.1-08/262;Заявка Министерства сельского хозяйства и продовольствия Ростовской области на участие в отборе с приложением на 1 л.;02.08.2013;2;16-17;;;
172;;62-11;"Копия кредитного договора между ОАО Банк ""Возрождение"" и ОАО ""Батайское""";30.09.2011;31;18-48;;;
173;Ростовская область;11.1.1-08/272;Заявка Министерства сельского хозяйства и продовольствия Ростовской области на участие в отборе с приложением на 107 л.;21.08.2013;108;49-156;;;
174;Рязанская  область;НИ/5-3665;Заявка Министерства сельского хозяйства и продовольствия Рязанской области на участие в отборе;04.06.2013;;;;"ООО ""Вакинское Агро"";
ООО ""Малинищи"";
ООО ""Агрофирма-Петелинская"";
ООО ""Вердазернопродукт"";
ООО ""Рязанский бекон""";
175;;ДА/5-7118;Заявка Министерства сельского хозяйства и продовольствия Рязанской области на участие в отборе;05.11.2013;;;;"ООО ""Малинищи"" Пронского района";
176;;ДА/5-7118;Заявка Министерства сельского хозяйства и продовольствия Рязанской области на участие в отборе;05.11.2013;;;;"ООО ""Азеевское"";
ОАО ""Старожиловоагрохим"";
ООО Желудево"";
ОАО ""Аграрий"";
ООО Константиново"";
ООО Мосолово"";
Колхоз им. Ленина;
СПК ""Красный маяк"";
ООО ""Кензино"";
КФХ Зоринское Бубенцова М. И.;
Колхоз им. Куйбышева;
ООО ""Рассвет 1"";
ООО ""Авангард"";
ООО ""Мир"";
ООО ""Маяк"";
СПК ""Нива"";
ИП гл. КФХ Савкин А. И.;
ОАО ""Аграрий"";
ОАО им. ген. Скобелева;
ОАО ""Аграрий"" Касим. р-на;
ООО ""Маяк труда"";
ООО ""Березово"";
ООО ""Полуботок"";
ООО ""Прогресс"";
ООО ""Каргашинское"";
ИП гл. КФХ Сконникова И. Ю;
ИП гл. КФХ Поляков С. Н.;
ФХ Крона";
177;;06.05.8028;Заявка Министерства сельского хозяйства и продовольствия Рязанской области на участие в отборе;16.12.2013;;;;"СПК ""Надежда""";
178;;06.05.8029;Заявка Министерства сельского хозяйства и продовольствия Рязанской области на участие в отборе;16.12.2013;;;;"ООО ""Монастырский двор"";
ИП гл. КФХ Морозова О. В.;
колхоз ""День урожая"";
Ип гл. КФХ Шаврин П. Ю.;
ООО ""Назарьевская слобода"";
ИП гл. КФХ Панкратова В. М.;
ИП гл. КФХ Абрамов А. М.;
СПК ""Надежда"";
СПК ""Мир"";
ООО ""Свет"";
ООО ""Разбердеевское"";
ИП гл. КФХ Петин С. В.;
ООО ""Рассвет"";
ООО ""Виктория"";
ООО ""Держава"";
СПК ""Родина"";
ООО ""Агро-С"";
СПК ""Вышгородский"";
ИП гл. КФХ Нестеров А. В.""
ООО им. Алексашина;
ООО ""Семионагро"";
ООО ""Дубасово"";
ОАО ""Аграрий Ранова"";
ИП гл. КФХ Хлопцев С. М.";
179;;06.05.8031;Заявка Министерства сельского хозяйства и продовольствия Рязанской области на участие в отборе;16.12.2013;;;;"ООО ""Вакинское Агро"";
ИП Оводков С. В.;
ООО ""Сотницынский сахарный завод""";
180;Смоленская область;4665-04;Заявка Департамента Смоленской области по сельскому хозяйству и продовольствию на участие в отборе;05.12.2013;;;;"СПК (колхоз) ""Нива"" Руднянский район
ЗАО ""Свободный труд"" Хиславичский район";
181;;4262-04;Заявка Департамента Смоленской области по сельскому хозяйству и продовольствию на участие в отборе;08.11.2013;;;;"ЗАО ""Золотая Нива""";
182;;4263-04;Заявка Департамента Смоленской области по сельскому хозяйству и продовольствию на участие в отборе;08.11.2013;;;;"Товарищество на вере ""Заря-Игнатенков и компания"" Починсковский район
КХ ""Рассвет"" Монастырщинский район
СПК ""Маяк"" Краснинский район";
183;;3892-04;Заявка Департамента Смоленской области по сельскому хозяйству и продовольствию на участие в отборе;15.10.2013;;;;"ООО ""ЮрАл"" Сафоновский район
ООО ""ЮрАл"" Сафоновский район";
184;;3240-04;Заявка Департамента Смоленской области по сельскому хозяйству и продовольствию на участие в отборе;26.08.2013;;;;"ЗАО ""Свободный труд"" Хиславичский район
ООО ""Золотая Нива"" Новодугинский район
СПК ""им.Кутасова"" Демидовский район (№124312/0169 от 27.06.12);
ООО ""Терра"" Вяземский район (№0028001242012100 от 05.10.12);
ООО рыбное хозяйство ""Десна"" Рославский район (№124317/0121 от 20.06.12);
СПК ""Талашконо-Агро"" Смоленский район (№124300/0096 от 10.08.12);
ЗАО ""Золотая нива"" Сафоновский район (№0228001241012200 от 20.11.12);
ООО ""Царское село"" Ярцевский район (№124313/0123 от 06.09.12); 
СПК ""Шестаково"" Кардымовский район (№124300/0052 от 25.04.12);
ООО ""Балтутино"" Глинковский район (№124323/0155 от 15.06.12);
ООО ""Балтутино"" Глинковский район (№124323/0137 от 06.06.12);
ИП Чазов Леонид Иванович Рославльский район (№0029001244021000 от 28.03.12)";
185;;2384-04;Заявка Департамента Смоленской области по сельскому хозяйству и продовольствию на участие в отборе;02.07.2013;;;;"СПК ""им.Кутасова"" Демидовский район (№124312/0101 от 10.05.12);
ООО ""Союзный дом"" Хиславичский район;
ИП ГКФХ Кундин Сергей Александрович Сафоновский район;
ИП ГКФХ Кундин Сергей Александрович Сафоновский район";
186;Тамбовская область;01-13/143;Заявка Управления сельского хозяйства Тамбовской области на участие в отборе;24.06.2013;;;;"ООО ""Тамбовский бекон""";
187;;01-13/206;Заявка Управления сельского хозяйства Тамбовской области на участие в отборе;21.08.2013;;;;ИП глава КФХ Бичахчян В.А.;
188;;;Заявка Управления сельского хозяйства Тамбовской области на участие в отборе;;;;;"ОАО ""Знаменский сахарный завод"" (№2011-010-Л от 27.05.11) - есть";
189;;;Заявка Управления сельского хозяйства Тамбовской области на участие в отборе;;;;;"ОАО ""Знаменский сахарный завод"" (№5517 от 13.01.12) - есть";
190;;;Заявка Управления сельского хозяйства Тамбовской области на участие в отборе;;;;;"ОАО ""Уваровский сахарный завод"" (№007/07/УСЗ от 24.12.12) - есть";
191;;01-13/138;Заявка Управления сельского хозяйства Тамбовской области на участие в отборе;24.06.2013;;;;"ООО ""Тамбовский бекон""";
192;Удмуртская Республика;02.08.4493;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;30.10.2013;;;;"СХПК ""Колос""";
193;;02.08.3932;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;25.09.2013;;;;"ООО ""Рико-Агро""";
194;;02.08.4911;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;02.12.2013;;;;"СПК (колхоз) ""Кулига""";
195;;02.08.5186;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;19.12.2013;;;;СПК имени Кирова;
196;;02.08.5205;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;19.12.2013;;;;"СПК (колхоз) Удмуртия;                   СПК имени Суворова;                                 СПК ""Югдон"";                                            ООО ""Иргина"";                                           ООО ""Балезинск"";                                      ООО ""Родина"";                                          СПК ""Свобода""";
197;;02.08.4026;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;30.09.2013;;;;"ЗАО ""Ошмес"";                                         СПК (колхоз) ""Гулейшур"" ";
198;;02.08.4024;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;30.09.2013;;;;"ООО ""Решительный"";                            СПК ""Каменный ключ"";                               ООО ""Удмуртская птицефабрика""; ООО ""Уромское""";
199;;02.08.3884;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;23.09.2013;;;;"ООО ""Мир""";
200;;02.08.4491;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;30.10.2013;;;;"ООО ""Птицефабрика ""Вараксино""";
201;;02.08.4489;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;30.10.2013;;;;"ООО ""Какси"";                                             ООО ""Красногорское""";
202;;02.08.3457;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;26.08.2013;;;;"СПК ""Коммунар"";                             ЗАО ""Развитие"";                                          ООО ""Турнес"";                                            СПК ""Колхоз Луч"";                                     КХ ""Колос"";                                                ООО ""Родина"";                                          ООО ""Восход"";                                            СПК ""Прогресс"";                                         СПК-колхоз ""Авангард"";                                   СПК ""Колхоз Искра""";
203;;02.08.3063;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;29.07.2013;;;;"СХПК -колхоз ""Луч"";                                    ООО ""Родина"";                                                СПК (колхоз) Большевик"";                           ЗАО ""Развитие"";                                ООО ""Халды""";
204;;02.08.3081;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;29.07.2013;;;;"ООО ""Первый май"";                           СПК (колхоз) ""Рассвет""";
205;;02.08.2405;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;18.06.2013;;;;"СПК ""40 лет Победы"";                               СПК ""Сергинский"";                                    СПК ""Звезда"";                                             ООО ""Варзи-Ятчи"";                                        ООО ""Прогресс"";                                         СПК ""Колхоз им. Чапаева"";                             ООО ""им. Кирова""";
206;;02.08.3456;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;26.08.2013;;;;"ОАО ""Восход"";                                            СПК имени Кирова";
207;;02.08.2654;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;03.07.2013;;;;"СПК ""Сергинский"";                                    ООО ""Октябрьский"";                                  СПК ""Луч"";                                                    СПК ""Коротай"";                                          ОАО ""Путь Ильича"";                                    ООО ""Птицефабрика ""Вараксино""; ООО ""Зуринский агрокомплекс"";                ООО ""Агрофирма Игра"";                               ООО ""РАССВЕТ"";                              СПК ""имени Кирова"";                                    ООО ""Родник"";                                           ООО ""Вера"";                                               ООО ""Родина"";                                           ООО ""Медведева В.П."";                                  ООО ""Дружба""";
208;;02.08.2717;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;08.07.2013;;;;"ООО ""Аскор""";
209;;02.08.2666;Заявка Министерства сельского хозяйства и продовольствия Удмуртской Республики на участие в отборе;04.07.2013;;;;"ООО ""Рассвет""";
210;Хабаровский край;8.1.-37/2011;Заявка Министерства сельского хозяйства и продовольствия Хабаровского края на участие в отборе;22.11.2013;;;;"ОАО ""Птицефабрика ""Комсомольская""";
211;;8.1.-37/2096;Заявка Министерства сельского хозяйства и продовольствия Хабаровского края на участие в отборе;19.11.2013;;;;"ООО ""СХП ""Колос"" (№127500/0019 т.о.)
ООО ""СХП ""Колос"" (№127500/0018 т.о.)
ООО ""Сергеевское"" (№117500/0030)
ООО ""СХПК ""Колос"" (№117500/0050)
ООО ""СХПК ""Колос"" (№117500/0049)
ООО ""Даниловка"" (№117500/0026)
ООО ""Даниловка"" (№117500/0034)
ОАО ""Хорское"" (№117500/0048)
ОАО ""Хорское"" (№117500/0047);";
212;;8.1-37/1996;Заявка Министерства сельского хозяйства и продовольствия Хабаровского края на участие в отборе;22.08.2013;;;;"ООО ""Даниловка""
ООО ""Даниловка""
ООО ""Даниловка""
ООО ""Черняевская""";
213;;8.1-37/2099;Заявка Министерства сельского хозяйства и продовольствия Хабаровского края на участие в отборе;20.11.2013;;;;"ОАО ""Племенной птицеводческий завод ""Хабаровский""";
214;Челябинская область ;4357;Заявка Министерства сельского хозяйства Челябинской области на участие в отборе;21.08.2013;;;;"ООО ""Бектыш""";
215;;4339;Заявка Министерства сельского хозяйства Челябинской области на участие в отборе;20.08.2013;;;;"ООО ""Тепличный комбинат ""Агаповский""";
216;;4337;Заявка Министерства сельского хозяйства Челябинской области на участие в отборе;20.08.2013;;;;"ООО ""Союз"";                                                 СПК ""Подовинное""";
217;;4338;Заявка Министерства сельского хозяйства Челябинской области на участие в отборе;20.08.2013;;;;"ОАО ""Агрофирма Ариант""";
218;Республика Саха (Якутия);01-6188/10;Заявка Министерства сельского хозяйства Республики Саха (Якутия) на отчастие в отборе;26.08.2013;;;;"КХ ""Котрус"";                                                                    ОАО ""Кюндядинская"" (126006/0031);                           ИП ГКФХ Ионов И.И.(№126001/0021);                      ИП Лукин (№126002/668);                                            ИП ГКФХ Кырбасова А.В.(№126001/0042);                     СХПК ""Тумо"" (№126007/0080);                                  СХПК ""имени Степана Аржакова"" (№126001/0022); СХПК ""Победа"" (№126005/0044); ";
219;;02-8510/10;Заявка Министерства сельского хозяйства и продовольственной политики Республики Саха (Якутия) на отчастие в отборе;18.11.2013;;;;"СХПК ""Уолба"";                                                                 СХПК ""Тыымпы"";                                                              ОАО ""Кюньдядинская"" (№126006/0031);                               ИП ГКФХ Попов И.И. (№136001/0021); 
ИП Лукин Р.Г. (№126002/668);                                      КХ ""Котрус""(№136000/0165);                                          ИП ГКФХ Кырбасова А.В. (№126061/0042); 
СХПК ""Тумол"" (№126007/0080);                                 СХПК ""имени Степана Аржакова (№126001/0022);
 СХПК ""Победа""(№126005/0044);                                  СХПК ""Победа""(№126005/0037);                           СХПК ""Победа""(№126005/0045);                               СХППК ""Маай"" (№126017/0022);                                  ООО ""СанаОЛОХ""(№116007/0018);                           ООО ""СанаОЛОХ""(№116007/0053);                         ООО ""Конезавод ""Берте""(№126004/0740); 
ИП Эм Григорий(№136000/0067);                                  СПК ""Лена"" (№126003/0385);                                  СХПК ""Болугор"" (№126014/0220)";
220;Саратовская область;01-03-03-5420;Заявка Министерства сельского хозяйства Саратовской области на отчастие в отборе;27.11.2013;;;;"ООО ""ГУНО"";
ЗАО ""Цель""";
221;Белгородская область;6-02/294;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;26.02.2014;;;;"ЗАО ""Приосколье""";
222;;06.02.1969;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;22.01.2014;;;;"ООО ""ЭФКО Пищевые ингридиенты""";
223;;06.02.1975;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;22.01.2014;;;;"КФХ ""Озерки""
 КФХ ""Озерки""
КФХ ""Озерки""
(№133012/0025)
 ИП Глава КФХ Щетинин А.Н.
 ИП Бочарников А.В.
 ЗАО ""РеалИнвест""
Колхоз ""Знамя труда""";
224;;06.02.1972;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;22.01.2014;;;;"ОАО ""Элеватор""
ООО ""Алексеевский соевый комбинат""";
225;;6-02/351;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;05.03.2014;;;;"ЗАО ""Белгородский бройлер""
ИП глава КФХ Унковский Николай Иванович";
226;;6-02/160;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;03.02.2014;;;;"ООО ""Белгранкорм""
ООО ""Белгранкорм"" 
ОАО ""БЗРК""
ЗАО ""Краснояружская зерновая компания""
ЗАО ""Краснояружская зерновая компания""      ";
227;;06.02.2315;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;19.11.2014;;;;"ИП - Глава КФХ Конопля Анжела Сергеевна
КФХ ""Вектор""
КФХ ""Вектор""
ИП Власенко Владимир Александрович";
228;;6-02/1344;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;08.07.2014;;;;"ЗАО ""Веделевское""
ЗАО ""Белком""
ОАО ""Сотружество"" (ООО ""Ровеньки-маслосырзавод"")";
229;;6-02/1345;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;08.07.2014;;;;"ОАО ""Молочная компания ""Зеленая долина""";
230;;6-02/1369;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;09.07.2014;;;;"ООО ""Агрохолдинг Ивнянский""
ОАО ""Белгородские молочные фермы""
ЗАО ""Молоко Белогорья""
ООО ""СлавияАгроТрейд""
ОАО ""Белгородские молочные фермы""";
231;;6-02/348;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;05.03.2014;;;;"ЗАО ""Вейделевское""
ООО ""Корочанские сады"" (№133000/0038 от 28.06.13)";
232;Владимирская область;ДСХП-310-09-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;03.02.2014;;;;"ЗАО ""Де Хёс""";
233;;ДСХП-311-09-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;03.02.2014;;;;"ЗАО ""Де Хёс""";
234;;ДСХП-3604-10-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;11.09.2014;;;;"СПК ""Бабаево""
";
235;;ДСХП-4550-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;27.11.2014;;;;ИП Петросян Гайк Робертович;
236;;ДСХП-2454-10-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;24.06.2014;;;;"ЗАО ""Невский""
ООО ""Борисовское"" №22/05-13";
237;;ДСХП-3795-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;29.09.2014;;;;"ОАО ""Агропромышленная фирма ""Россия""";
238;;ДСХП-3584-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;10.09.2014;;;;"СПК ""Племзавод ""17МЮД""";
239;;ДСХП-5319-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;23.12.2014;;;;"СПК ""МИР""";
240;;ДСХП-4194-10-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;27.10.2014;;;;"ООО ""ЗЕРНО""
ИП Петросян Гайк Робертович";
241;;ДСХП-4193-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;27.10.2014;;;;"ОАО ""Племенной завод""Илькино""";
242;;ДСХП-4192-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;27.10.2014;;;;"ОАО ""Племенной завод""Илькино""";
243;;ДСХП-4294-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;10.11.2011;;;;"СПК ""Красногорбатский""";
244;;ДСХП-4293-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;10.11.2014;;;;ИП Петросян Гайк Робертович;
245;;ДСХП-878-10-11;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;05.03.2014;;;;"СПК ""Колпь""
СПК ""Новосельский""
ООО ""АИДИ и К""";
246;;ДСХП-329-07-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;04.02.2014;;;;"ОАО ""Агропромышленная фирма ""Россия"" Гусь-Хрустального района";
247;;ДСХП-877-10-11;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;05.03.2014;;;;"ООО ""Агропромышленный комплекс ""Воронежский""
ЗАО ""Невский""
ЗАО ""Суворовское""";
248;;ДСХП-932-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;11.03.2014;;;;"СПК ""Колпь""";
249;;ДСХП-2239-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;05.06.2014;;;;"СПК ""Небыловский""";
250;Воронежская область ;60-11-03/818;Заявка Департамента аграрной политики Воронежской области на участие в отборе;03.07.2014;;;;"ООО ""Ритм""
КФХ глава Рогозин Евгений Евгеньевич
ЗАО ""Авангард"" № 1221/9013/0900/077/13
КФХ ""Рубин""
ООО СХП ""Буревестник""
ООО ""Мечта""
ООО ""Варваровка""
ООО ""Нива""
ИП глава КФХ Максаков Владимир Васильевич
СПХ ""Вершина"" №953013106
СПХ ""Вершина"" №953013105
ЗАО ""Авангард"" №1221/9013/0900/091/13
ИП глава КФХ Бойков Сергей Алексеевич
Колхоз им. Докучаева
ООО ""Придония""
ИП глава КФХ Князев Александр Викторович";
251;;60-11-03/489;Заявка Департамента аграрной политики Воронежской области на участие в отборе;28.05.2014;;;;"ООО ""Содружество"""; 
252;;60-11-02/1254;Заявка Департамента аграрной политики Воронежской области на участие в отборе;21.08.2014;;;;"ООО ""СП ""Новомарковская"" КС -725000/2013/00197
ООО ""СП ""Новомарковская"" КС -725000/2013/00196
ООО ""СП ""Новомарковская"" КС -725000/2013/00313
ООО ""СП ""Новомарковская"" КС -725000/2013/00180
ООО ""СП ""Новомарковская"" КС -725000/2013/00179";
253;;60-11-03/1064;Заявка Департамента аграрной политики Воронежской области на участие в отборе;28.07.2014;;;;"ЗАО ""Дон""";
254;;60-11-03/1044;Заявка Департамента аграрной политики Воронежской области на участие в отборе;28.07.2014;;;;"СХА ""Единство""
 ЗАО ""Победа""
ИП глава КФХ Шмигирилов В.И.
ИП глава КФХ Палихов А.А.
ИП КФХ Котов В.В.";
255;;60-11-03/428;Заявка Департамента аграрной политики Воронежской области на участие в отборе;20.05.2014;;;;"ООО ""Воробьевкаагроснаб"" №131404/0052
ООО ""Воробьевкаагроснаб"" №111404/0037";
256;;60-11-03/456;Заявка Департамента аграрной политики Воронежской области на участие в отборе;22.05.2014;;;;"ООО ""ЭкоМилк""";
257;;60-11-03/1105;Заявка Департамента аграрной политики Воронежской области на участие в отборе;01.08.2014;;;;"ООО ""ЭкоНиваАгро""(№ 030/0061L/14)
ООО ""ЭкоНиваАгро""(№ 030/0075L/14)
ООО ""ЭкоНиваАгро""(№ 030/0091L/14) ";
258;;60-11-03/457;Заявка Департамента аграрной политики Воронежской области на участие в отборе;22.05.2014;;;;"ООО ""ЭкоМилк""";
259;;60-11-03/820;Заявка Департамента аграрной политики Воронежской области на участие в отборе;03.07.2014;;;;"ООО ""Вторая Пятилетка""";
260;;60-11-03/823;Заявка Департамента аграрной политики Воронежской области на участие в отборе;04.07.2014;;;;"ЗАО ""АгроСвет""";
261;;60-11-03/822;Заявка Департамента аграрной политики Воронежской области на участие в отборе;04.07.2014;;;;"ЗАО ""АгроСвет""";
262;;60-03-02/164;Заявка Департамента аграрной политики Воронежской области на участие в отборе;04.02.2014;;;;ИП глава КФХи Котов Витор Васильевич;
263;;60-03-02/426;Заявка Департамента аграрной политики Воронежской области на участие в отборе;12.03.2014;;;;"ООО ""АВАНГАРД-АГРО-Воронеж""";
264;;60-03-02/230;Заявка Департамента аграрной политики Воронежской области на участие в отборе;07.02.2014;;;;"ОАО ""Воронежское перепелинное хозяйство""";
265;;10-03-02/257;Заявка Департамента аграрной политики Воронежской области на участие в отборе;12.02.2014;;;;ИП глава КФХ Палехов Андрей Александрович;
266;;60-03-02/459;Заявка Департамента аграрной политики Воронежской области на участие в отборе;17.03.2014;;;;"ООО ""Содружество""";
267;;60-03-02/458;Заявка Департамента аграрной политики Воронежской области на участие в отборе;17.03.2014;;;;"ООО ""Содружество""
ЗАО ""Юдановские просторы""
 ООО ""Авангард-Агро-Воронеж"" (№297/13-КЛ)
ООО ""Авангард-Агро-Воронеж"" (№588/13-КД)
ООО ""Авангард-Агро-Воронеж"" (№643/13-КД)";
268;;60-11-02/1257;Заявка Департамента аграрной политики Воронежской области на участие в отборе;12.07.2014;;;;"ИП глава КФХ Малёв Владимир Иванович
ООО ""АВАНГАРД-АГРО-Воронеж""
ООО ""Сельскохозяйственное предприятие ""Новомарковское""";
269;;60-11-02/1255;Заявка Департамента аграрной политики Воронежской области на участие в отборе;21.08.2014;;;;"ООО ""АВАНГАРД-АГРО-Воронеж""
ООО ""АВАНГАРД-АГРО-Воронеж""
ООО ""Сельскохозяйственное предприятие ""Новомарковское""";
270;;60-11-02/1256;Заявка Департамента аграрной политики Воронежской области на участие в отборе;21.08.2014;;;;"ИП глава КФХ Путенко Василий Петрович
ИП глава КФХ Малев Владамир Иванович";
271;;60-11-03/413;Заявка Департамента аграрной политики Воронежской области на участие в отборе;19.05.2014;;;;"ООО ""Калинка""
ООО""Комсоиольское""
ИП глава КФХ Уразова Мария Алексеевна
ИП глава КФХ Тестов Константин Александрович
ООО ""Ритм""
ООО ""Ритм""
СХА ""Старокриушанская""
 ИП глава КФХ Леонов Николай Александрович
ИП глава КФХ Гарбузов Игорь Иванович
ООО ""Нива""
ООО ""Русское поле""
ИП глава КФХ Банов Алексей Иванович
ЗАО ""Павловское МТС""
ЗАО ""Павловское МТС""
ИП глава КФХ Татаринов Сергей Алексеевич
Колхоз ""Большевик""";
272;;60-11-02/1146;Заявка Департамента аграрной политики Воронежской области на участие в отборе;08.08.2014;;;;"ООО ""АГРОЭКО-ВОРОНЕЖ""";
273;;60-11-02/1145;Заявка Департамента аграрной политики Воронежской области на участие в отборе;08.08.2014;;;;"ООО ""АГРОЭКО-ВОРОНЕЖ""";
274;;60-03-02/177;Заявка Департамента аграрной политики Воронежской области на участие в отборе;04.02.2014;;;;"ООО ""Специализированное хозяйство Московское""";
275;;60-30-02/448;Заявка Департамента аграрной политики Воронежской области на участие в отборе;14.03.2014;;;;"ИП Глава КФХ Ткачев Николай Алексеевич""";
276;;60-03-02/347;Заявка Департамента аграрной политики Воронежской области на участие в отборе;25.02.2014;;;;"ООО ""Исток""
ООО ""Агро-Острогожск""
ООО ""Бурляевка""
ООО ""Форсайт-Агро""(№111402/0012 от 21.03.11)
КФХ ""Нива-II""(№121420/0006 от 18.04.12)
ООО ""Бобров-Нива""
ООО ""Никольское""(№111413/0016 от 30.03.11)
ООО ""Никольское""(№121413/0047 от 25.07.12)
ООО ""Агросоюз""";
277;Ивановская область;ИСХ-974-010/13-8;Заявка Департамента сельского хозяйства Ивановской области на участие в отборе ;28.05.2014;;;;"ЗАО ""Вертуза""";
